https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=7200
Sat Oct 26 2019 12:44:37 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Marc Bulger,2008-09-14,STL,,NYG,2,2,Sun,20,32,177,1,1,6,44,1,9,0,0
Jason Campbell,2008-09-14,WAS,,NOR,2,2,Sun,24,36,321,1,0,2,15,3,1,0,0
David Carr,2008-09-14,NYG,@,STL,2,2,Sun,0,0,0,0,0,0,,3,-3,0,0
Matt Cassel,2008-09-14,NWE,@,NYJ,2,2,Sun,16,23,165,0,0,4,9,1,7,0,0
Kerry Collins,2008-09-14,TEN,@,CIN,2,2,Sun,14,21,128,1,0,1,10,0,0,0,1
Jay Cutler,2008-09-14,DEN,,SDG,2,2,Sun,36,50,350,4,1,1,9,2,6,0,1
Jake Delhomme,2008-09-14,CAR,,CHI,2,2,Sun,12,21,128,0,1,3,26,4,3,0,0
Trent Edwards,2008-09-14,BUF,@,JAX,2,2,Sun,20,25,239,1,0,3,29,1,-1,0,1
Brett Favre*,2008-09-14,NYJ,,NWE,2,2,Sun,18,26,181,1,1,2,29,2,6,0,0
Matt Flynn,2008-09-14,GNB,@,DET,2,2,Sun,0,0,0,0,0,0,,2,-2,0,0
David Garrard,2008-09-14,JAX,,BUF,2,2,Sun,17,28,165,0,1,2,20,6,32,0,0
Brian Griese,2008-09-14,TAM,,ATL,2,2,Sun,18,31,160,1,0,2,13,1,-1,0,1
Matt Hasselbeck,2008-09-14,SEA,,SFO,2,2,Sun,18,36,189,0,2,1,7,1,12,0,0
Chad Henne,2008-09-14,MIA,@,ARI,2,2,Sun,7,12,67,0,0,0,0,0,0,0,0
Damon Huard,2008-09-14,KAN,,OAK,2,2,Sun,2,4,17,0,1,1,8,1,15,0,0
Tarvaris Jackson,2008-09-14,MIN,,IND,2,2,Sun,14,24,130,0,0,2,10,2,0,0,1
Jon Kitna,2008-09-14,DET,,GNB,2,2,Sun,21,41,276,2,3,5,20,1,7,0,0
Matt Leinart,2008-09-14,ARI,,MIA,2,2,Sun,1,2,15,0,0,0,0,2,-2,0,0
Eli Manning,2008-09-14,NYG,@,STL,2,2,Sun,20,29,260,3,0,2,19,0,0,0,0
Peyton Manning,2008-09-14,IND,@,MIN,2,2,Sun,26,42,311,1,2,2,15,2,0,0,0
J.T. O'Sullivan,2008-09-14,SFO,@,SEA,2,2,Sun,20,32,321,1,0,8,49,4,32,0,1
Dan Orlovsky,2008-09-14,DET,,GNB,2,2,Sun,2,4,6,0,0,0,0,0,0,0,0
Kyle Orton,2008-09-14,CHI,@,CAR,2,2,Sun,19,32,149,0,0,1,8,1,-1,0,0
Carson Palmer,2008-09-14,CIN,,TEN,2,2,Sun,16,27,134,0,2,1,7,0,0,0,1
Chad Pennington,2008-09-14,MIA,@,ARI,2,2,Sun,10,20,112,0,0,2,15,1,6,0,0
Philip Rivers,2008-09-14,SDG,@,DEN,2,2,Sun,21,33,377,3,1,1,1,0,0,0,0
Aaron Rodgers,2008-09-14,GNB,@,DET,2,2,Sun,24,38,328,3,0,1,4,4,25,0,2
Ben Roethlisberger,2008-09-14,PIT,@,CLE,2,2,Sun,13,20,179,1,0,2,15,1,0,0,0
JaMarcus Russell,2008-09-14,OAK,@,KAN,2,2,Sun,6,17,55,0,0,0,0,1,3,0,0
Matt Ryan,2008-09-14,ATL,@,TAM,2,2,Sun,13,33,158,0,2,4,29,6,10,0,1
Tyler Thigpen,2008-09-14,KAN,,OAK,2,2,Sun,14,33,151,1,1,3,29,1,6,0,1
Kurt Warner*,2008-09-14,ARI,,MIA,2,2,Sun,19,24,361,3,0,2,12,0,0,0,0
Jay Cutler,2008-09-08,DEN,@,OAK,1,1,Mon,16,24,300,2,0,0,0,5,9,0,0
Tarvaris Jackson,2008-09-08,MIN,@,GNB,1,1,Mon,16,35,178,1,1,1,10,9,65,0,0
Aaron Rodgers,2008-09-08,GNB,,MIN,1,1,Mon,18,22,178,1,0,0,0,8,35,1,1
JaMarcus Russell,2008-09-08,OAK,,DEN,1,1,Mon,17,26,180,2,0,3,23,3,7,0,2
Derek Anderson,2008-09-07,CLE,,DAL,1,1,Sun,11,24,114,1,0,1,0,4,24,0,2
