https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=8000
Sat Oct 26 2019 12:46:58 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Jared Lorenzen,2007-01-07,NYG,@,PHI,17,18,Sun,0,0,0,0,0,,,1,2,0,0
Eli Manning,2007-01-07,NYG,@,PHI,17,18,Sun,16,27,161,2,1,1,7,2,4,0,0
Chad Pennington,2007-01-07,NYJ,@,NWE,17,18,Sun,23,40,300,1,1,3,22,2,1,0,1
Patrick Ramsey,2007-01-07,NYJ,@,NWE,17,18,Sun,1,1,-1,0,0,0,0,0,0,0,0
Brad Smith,2007-01-07,NYJ,@,NWE,17,18,Sun,0,0,0,0,0,,,0,0,0,0
Vinny Testaverde,2007-01-07,NWE,,NYJ,17,18,Sun,0,0,0,0,0,,,1,-1,0,0
Trent Green,2007-01-06,KAN,@,IND,17,18,Sat,14,24,107,1,2,4,25,1,-3,0,2
Matt Hasselbeck,2007-01-06,SEA,,DAL,17,18,Sat,18,36,240,2,2,0,0,2,3,0,0
Peyton Manning,2007-01-06,IND,,KAN,17,18,Sat,30,38,268,1,3,1,5,2,-2,0,0
Tony Romo,2007-01-06,DAL,@,SEA,17,18,Sat,17,29,189,1,0,2,21,1,0,0,2
Seneca Wallace,2007-01-06,SEA,,DAL,17,18,Sat,0,0,0,0,0,,,0,0,0,0
Tom Brady,2006-12-31,NWE,@,TEN,16,17,Sun,15,24,225,1,0,1,5,1,-1,0,0
Drew Brees,2006-12-31,NOR,,CAR,16,17,Sun,4,5,46,0,0,0,0,1,0,0,0
Aaron Brooks,2006-12-31,OAK,@,NYJ,16,17,Sun,15,26,136,0,1,2,15,1,0,0,0
Marc Bulger,2006-12-31,STL,@,MIN,16,17,Sun,19,30,248,1,0,0,0,0,0,0,0
David Carr,2006-12-31,HOU,,CLE,16,17,Sun,9,15,86,0,1,1,3,5,-6,0,0
Matt Cassel,2006-12-31,NWE,@,TEN,16,17,Sun,0,1,0,0,0,1,6,1,5,0,0
Jay Cutler,2006-12-31,DEN,,SFO,16,17,Sun,21,32,230,1,1,2,17,2,-1,0,0
Jake Delhomme,2006-12-31,CAR,@,NOR,16,17,Sun,23,27,207,2,0,0,0,3,-3,0,0
Brett Favre*,2006-12-31,GNB,@,CHI,16,17,Sun,21,42,285,1,1,2,9,0,0,0,0
A.J. Feeley,2006-12-31,PHI,,ATL,16,17,Sun,22,33,321,3,0,0,0,1,3,0,0
Ryan Fitzpatrick,2006-12-31,STL,@,MIN,16,17,Sun,0,0,0,0,0,,,3,0,0,0
Charlie Frye,2006-12-31,CLE,@,HOU,16,17,Sun,25,35,187,0,1,1,8,5,36,0,0
Jeff Garcia,2006-12-31,PHI,,ATL,16,17,Sun,1,3,29,0,0,0,0,0,0,0,0
David Garrard,2006-12-31,JAX,@,KAN,16,17,Sun,10,18,140,1,1,2,11,1,15,0,0
Quinn Gray,2006-12-31,JAX,@,KAN,16,17,Sun,13,22,166,0,0,1,11,2,26,2,0
Trent Green,2006-12-31,KAN,,JAX,16,17,Sun,14,21,181,1,2,3,10,4,12,0,0
Brian Griese,2006-12-31,CHI,,GNB,16,17,Sun,5,15,124,1,2,1,8,0,0,0,0
Rex Grossman,2006-12-31,CHI,,GNB,16,17,Sun,2,12,33,0,3,1,5,2,-1,0,0
Matt Hasselbeck,2006-12-31,SEA,@,TAM,16,17,Sun,17,29,216,1,0,1,4,3,-1,0,0
Damon Huard,2006-12-31,KAN,,JAX,16,17,Sun,2,3,54,0,0,0,0,0,0,0,0
Tarvaris Jackson,2006-12-31,MIN,,STL,16,17,Sun,20,34,213,1,2,4,14,7,34,1,0
Brad Johnson,2006-12-31,MIN,,STL,16,17,Sun,1,1,12,0,0,0,0,0,0,0,0
Jon Kitna,2006-12-31,DET,@,DAL,16,17,Sun,28,42,306,4,1,5,29,5,25,0,0
