player,season,quintile,home,cmp%,attempts,ny/a,carries,ypc,td:to
Geno Smith,0.42468810612182634,0.36010781096805283,0.9989115143192981,-1.7315887123849705,-1.9298135250442172,-1.9962108441251023,-0.7459454839932279,-0.3333160587702346,-0.660408881822802
Ryan Tannehill,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.3554354422336778,0.9219320543639512,0.5372523553730598,0.029334934763778676,0.9326064421559848,0.41761149879971293
Brandon Weeden,0.42468810612182634,0.36010781096805283,0.9989115143192981,-0.06969910778123255,0.6626824562359359,0.7651964327964554,-0.3583052746147246,-0.2146358243084016,-0.660408881822802
Joe Flacco,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.6425392941917983,0.2305997926892437,0.05794850681935351,0.4169751441422819,-0.3926561760011512,-0.12139869151154448
Matt Flynn,0.42468810612182634,0.36010781096805283,-1.0009749073945502,-0.9006439100831014,-1.065648197950833,-1.142493736826086,-0.3583052746147246,-0.3333160587702346,-1.7384292624453168
Ben Roethlisberger,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.2324626385103563,1.0083485870732896,-0.199943903497307,-0.7459454839932279,1.8029281615427608,0.9566216891109706
Tony Romo,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.9170478449522372,-0.028649805438771683,-0.07351505048474215,-0.7459454839932279,-1.045397465541233,-0.12139869151154448
Matthew Stafford,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.1677136928764444,0.2305997926892437,1.1925379188133864,-0.7459454839932279,1.0908467547717624,-0.12139869151154448
Robert Griffin,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.058138554111363164,-0.5471490016948023,-1.7833584031836585,0.4169751441422819,0.7941461686171796,-1.1994190721340594
Colin Kaepernick,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.1380370927942349,-0.7199820671134792,1.1378716258719943,2.3551761910347984,-0.2805692878983088,0.9566216891109706
Tom Brady,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.5950567340602633,1.5268477833293204,-0.07554325922872239,-0.3583052746147246,-0.8080369966175669,0.41761149879971293
Jason Campbell,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.2324626385103563,-0.8928151325321562,-0.7935080274234474,-0.7459454839932279,-1.045397465541233,-0.660408881822802
Kellen Clemens,0.42468810612182634,0.36010781096805283,0.9989115143192981,-1.2783460929475874,-0.8928151325321562,-0.05112024560328909,0.029334934763778676,-1.045397465541233,0.41761149879971293
Ryan Fitzpatrick,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.8799520948494752,0.8355155216546127,0.3711236209797377,0.8046153535207853,0.4262374417854971,-0.12139869151154448
Joe Flacco,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.37773270884285104,-0.5471490016948023,0.8625877935599823,-1.1335856933717312,-0.8080369966175669,-0.12139869151154448
Matt Flynn,0.42468810612182634,0.36010781096805283,0.9989115143192981,-0.2081899081648769,0.3170163253985821,-0.1018818033345822,0.4169751441422819,0.6161258169244299,0.41761149879971293
Mike Glennon,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.4842640937533466,-0.9792316652414944,0.9143645824459008,0.4169751441422819,-1.8168189895431484,0.9566216891109706
Chad Henne,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.9170478449522372,-0.028649805438771683,-0.1399529716330517,0.029334934763778676,-0.5706765276939008,-0.660408881822802
Case Keenum,0.42468810612182634,0.36010781096805283,0.9989115143192981,-0.6562483799943163,0.14418325997990522,-1.07904178966197,-0.7459454839932279,-0.3333160587702346,-0.660408881822802
Andrew Luck,0.42468810612182634,0.36010781096805283,-1.0009749073945502,-0.7941125251726058,0.5762659235265974,-1.052391971853041,-0.3583052746147246,2.8710502716992585,-0.12139869151154448
Eli Manning,0.42468810612182634,0.36010781096805283,0.9989115143192981,-0.6236623093158118,-0.20148287085744854,-0.6697767304534211,-1.1335856933717312,-0.8080369966175669,0.9566216891109706
Peyton Manning,0.42468810612182634,0.36010781096805283,-1.0009749073945502,-0.6698259094436932,0.3170163253985821,-1.2814201053538348,-0.7459454839932279,-0.8080369966175669,-0.660408881822802
Josh McCown,0.42468810612182634,0.36010781096805283,-1.0009749073945502,1.3093156705069755,1.267598185201305,0.4057337739783468,-0.3583052746147246,-0.3333160587702346,-0.12139869151154448
Cam Newton,0.42468810612182634,0.36010781096805283,-1.0009749073945502,-0.9006439100831014,0.489849390817259,-1.0966845261905291,1.5798957722777918,0.9213035626834292,0.41761149879971293
Carson Palmer,0.42468810612182634,0.36010781096805283,0.9989115143192981,0.7837036621504172,0.40343285810792057,0.44380494227681627,-1.1335856933717312,-0.8080369966175669,0.41761149879971293
Christian Ponder,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.7612456945206363,-0.20148287085744854,-0.1399529716330517,0.029334934763778676,-1.2036377781570105,0.41761149879971293
Philip Rivers,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.6973268635743389,0.5762659235265974,1.5516759397622837,-0.7459454839932279,-0.5706765276939008,1.495631879422228
Ben Roethlisberger,0.42468810612182634,0.36010781096805283,-1.0009749073945502,0.3213337403608239,0.14418325997990522,0.04741689587510302,-0.3583052746147246,-1.164077700003066,0.9566216891109706
Tony Romo,0.42468810612182634,0.36010781096805283,-1.0009749073945502,-0.025965170817976144,0.489849390817259,-0.6493814617220982,0.029334934763778676,-0.7289168403096782,0.41761149879971293
